Year,State,GeoFIPS,Avg Rent,Income per capita,Population,Rent as Percent Income,Rent Change YOY,Percent Rent Change YOY,Rent as Percent Income Change YOY
2016,IN,18000,914.7887848666948,48603.83737514919,2301647,22.58559408318044,54.28914145488602,6.309025444756042,0.8383744502918233
2017,IN,18000,955.2432792337753,48843.399809437455,2516759,23.46871715631567,40.45449436708054,4.422277036657776,0.8831230731352306
2018,IN,18000,1029.1482261697051,50074.34351417942,3283879,24.662886914412383,73.90494693592984,7.736767014494031,1.194169758096713
2019,IN,18000,1087.1008185991047,52404.768483136104,3310653,24.89317327560986,57.9525924293996,5.631122024578342,0.23028636119747858
2020,IN,18000,1123.960102640275,55550.05121939452,3461267,24.2799438265402,36.85928404117021,3.3906040185554294,-0.6132294490696601
2021,IN,18000,1236.4011695423874,59672.54480199964,3857897,24.863719292915867,112.44106690211242,10.004008739988109,0.5837754663756662
2015,KS,20000,883.0163433286127,53302.016018582915,1557129,19.879540984433223,NA,NA,NA
2016,KS,20000,941.9974488609184,52115.56008401438,1682569,21.69020033193183,58.98110553230572,6.679503270570386,1.810659347498607
2017,KS,20000,964.5068193984241,53967.03932933189,1687392,21.446575496111016,22.509370537505674,2.3895362524308785,-0.24362483582081396
2018,KS,20000,978.0543409566698,54898.49515450484,1840266,21.378822968550814,13.547521558245649,1.404606093578003,-0.06775252756020222
2019,KS,20000,1008.7520160976786,57556.56723358583,1845707,21.03152563641518,30.697675141008858,3.138647195306384,-0.34729733213563563
2020,KS,20000,1034.7475267044558,59996.39667644638,1853498,20.69619345211139,25.995510606777202,2.5769971402228182,-0.33533218430378753
2021,KS,20000,1081.3577914240661,62983.61793294703,1853460,20.60264862984448,46.61026471961031,4.504506028447181,-0.09354482226691019
2015,KY,21000,1050.3310405845325,46856.44958712784,1087867,26.899119754213917,NA,NA,NA
2016,KY,21000,1121.9272243591283,47428.48064426761,1093707,28.386164830554705,71.59618377459583,6.8165350740039985,1.487045076340788
2017,KY,21000,1123.023997683028,48406.432062407184,1397275,27.839870442882997,1.096773323899697,0.09775797396539693,-0.5462943876717077
2018,KY,21000,1198.380913517861,50207.50218076188,1400428,28.642275232972192,75.35691583483299,6.71017858837442,0.8024047900891951
2019,KY,21000,1246.5457854434915,52185.65582815682,1456258,28.664101634708206,48.16487192563045,4.019162136372976,0.021826401736014134
2020,KY,21000,1293.2803340718178,56005.25093839178,1460211,27.710551687258384,46.734548628326365,3.749124113535815,-0.9535499474498224
2021,KY,21000,1340.9015455939698,57989.87194547488,1816117,27.747635935904587,47.62121152215195,3.682203329592072,0.03708424864620241
2015,MA,25000,1980.9049959883232,68707.45911478616,3915890,34.597204230980324,NA,NA,NA
2016,MA,25000,1816.3665803176355,68154.13980037477,4512656,31.981034501578097,-164.53841567068775,-8.306224478402884,-2.616169729402227
2017,MA,25000,2142.454990545652,69611.26329184076,5348187,36.9329023361673,326.0884102280165,17.952786280123703,4.951867834589205
2018,MA,25000,2596.649121716189,72808.48819625717,5377108,42.796918645807125,454.1941311705368,21.199704692739434,5.864016309639823
2019,MA,25000,2772.769404722204,76346.92073753946,5396918,43.58163045114947,176.12028300601514,6.782598447094498,0.7847118053423472
2020,MA,25000,2770.906443320998,79368.9945811973,6396616,41.89403871789651,-1.862961401206121,-0.0671877509191128,-1.6875917332529653
2021,MA,25000,2751.6394010681875,84805.25346677199,6355480,38.935881284472394,-19.26704225281037,-0.6953335540884721,-2.9581574334241125
2015,MD,24000,1418.6833611360998,67738.91414490133,2425913,25.132083306231443,NA,NA,NA
2016,MD,24000,1379.1217798479074,65390.3691714721,3445231,25.308713756879865,-39.56158128819243,-2.788612481964334,0.1766304506484211
2017,MD,24000,1387.1397842405213,66965.28994476996,3473834,24.857172162794907,8.018004392613875,0.5813847993538408,-0.45154159408495786
2018,MD,24000,1417.698535577221,68235.79803076385,3497092,24.931755644239235,30.558751336699743,2.20300446169029,0.07458348144432847
2019,MD,24000,1493.5734940338937,70086.10497283863,3520625,25.57266085103832,75.87495845667263,5.351981154849671,0.6409052067990864
2020,MD,24000,1521.7805115514627,73155.93930690561,3533285,24.962246827297253,28.207017517569057,1.8885590585426493,-0.6104140237410682
2021,MD,24000,1615.3013355596488,76671.30913727962,3799435,25.281446534334652,93.52082400818608,6.145487033004591,0.31919970703739864
2015,ME,23000,1082.5825176205367,53897,292399,24.103364215905227,NA,NA,NA
2016,ME,23000,1135.3510617345753,55815,294749,24.409590147478102,52.768544114038605,4.874320733538288,0.30622593157287525
2017,ME,23000,1237.5054454583203,58584,296302,25.348329485012705,102.15438372374501,8.997603223066072,0.9387393375346029
2018,ME,23000,1279.9731120102174,61071,298656,25.15052536248401,42.46766655189708,3.43171552963703,-0.1978041225286944
2019,ME,23000,1341.031619600712,64975,300892,24.76703260516898,61.05850759049463,4.770296111502007,-0.3834927573150324
2020,ME,23000,1325.116682122055,62262.667944891386,455319,25.5392207085295,-15.914937478657066,-1.1867682496103775,0.77218810336052
2021,ME,23000,1421.1349629624212,66136.22112856881,457996,25.785597157716072,96.01828084036629,7.246024605667303,0.24637644918657386
2015,MI,26000,866.2678036720984,47619.66157187446,5460347,21.829667202433235,NA,NA,NA
2016,MI,26000,958.8076159021789,48528.814067270345,5772975,23.708989415807746,92.53981223008054,10.682587051926141,1.879322213374511
2017,MI,26000,1016.9465265877801,49637.20857062559,5799810,24.58510192346934,58.13891068560122,6.0636680102813,0.8761125076615954
2018,MI,26000,1069.5254420096323,51588.391649682424,5816665,24.878281515866167,52.57891542185223,5.170273367103512,0.29317959239682523
2019,MI,26000,1125.6098489548046,53361.6009865526,5822092,25.312805346416738,56.084406945172304,5.24385907452468,0.434523830550571
2020,MI,26000,1137.2570072886929,56854.74000066225,6221262,24.003423614821475,11.647158333888228,1.0347420418098956,-1.3093817315952627
2021,MI,26000,1254.242030797093,59928.65440440132,6652550,25.114704341600795,116.98502350840022,10.286595093162045,1.11128072677932
2015,MN,27000,1186.5430864682296,61708.047859595485,2019992,23.074003361791153,NA,NA,NA
2016,MN,27000,1194.2329168463236,61346.395764422756,2290408,23.360451455351658,7.68983037809403,0.6480869060543744,0.28644809356050516
2017,MN,27000,1236.961037505123,62174.27356084667,2742081,23.874074597003368,42.7281206587993,3.5778716242082647,0.5136231416517099
2018,MN,27000,1311.527280734685,64974.17531966538,2768520,24.222434977259013,74.56624322956213,6.02818043322996,0.3483603802556452
2019,MN,27000,1368.8041161055698,65685.90431817627,3151863,25.00635343878735,57.27683537088478,4.367185968011258,0.7839184615283372
2020,MN,27000,1380.5274873163678,68837.33507391125,3317289,24.06590817324494,11.72337121079795,0.8564681441894333,-0.9404452655424116
2021,MN,27000,1462.1826075474683,73387.11430460641,3416389,23.909090113205703,81.65512023110045,5.914776850248112,-0.15681806003923526
2015,MO,29000,817.8297909639398,42211.50533679011,1157531,23.24948473944559,NA,NA,NA
2016,MO,29000,858.4859349389372,42723.68137966245,1167358,24.112695551023325,40.65614397499746,4.971223159659893,0.8632108115777335
2017,MO,29000,873.1714187397187,43963.63124633505,1178391,23.833465816703,14.685483800781412,1.710626022291905,-0.2792297343203245
2018,MO,29000,910.4637496297361,45314.82423376764,1291710,24.1103550114078,37.29233089001741,4.270906043150478,0.27688919470480045
2019,MO,29000,966.2879052592662,47021.199356589306,1300569,24.66005763735643,55.82415562953008,6.1313979444247435,0.5497026259486297
2020,MO,29000,1041.8718093380287,49499.20667659097,1362312,25.257903209929577,75.58390407876254,7.822089427734534,0.5978455725731457
2021,MO,29000,1236.9138869879341,53237.582428199865,1622873,27.880617351235905,195.04207764990542,18.720352724950757,2.6227141413063286
2016,MS,28000,953.2300713683245,38543.41404875235,415980,29.677601579225353,NA,NA,NA
2017,MS,28000,1057.5933678137167,40275.59998316693,570306,31.510692377193177,104.36329644539217,10.948384821261747,1.8330907979678237
2018,MS,28000,1088.661387203477,41320.465401957896,570408,31.616141104312717,31.068019389760366,2.937614808797917,0.10544872711954056
2019,MS,28000,1118.7791572454182,43014.440653682796,570246,31.21126227127999,30.117770041941185,2.766495661181377,-0.4048788330327291
2020,MS,28000,1170.5524416660526,46436.68996295581,569590,30.248989131650262,51.773284420634354,4.627659005384674,-0.9622731396297262
2021,MS,28000,1190.8668216522426,51398.099624472634,888617,27.80336620271208,20.314379986190033,1.735452361047275,-2.4456229289381817
2015,MT,30000,881.5904157269656,47466.005219623716,270326,22.287708729172582,NA,NA,NA
2016,MT,30000,902.5544705063081,47015.93970194154,273906,23.036131394452255,20.96405477934252,2.377981249042438,0.7484226652796728
2017,MT,30000,890.1315396492279,48478.17752181849,360474,22.03378720452784,-12.422930857080246,-1.3764189600779801,-1.0023441899244148
2018,MT,30000,906.9831254257724,50019.077057914204,362260,21.759292944385095,16.85158577654454,1.8931568005314365,-0.27449426014274536
2019,MT,30000,941.5120370354293,52000.27585620197,364400,21.727085594061602,34.528911609656916,3.807007059083677,-0.032207350323492534
2020,MT,30000,994.3010370985872,55398.94157955012,367611,21.537618057286974,52.789000063157914,5.606832200401433,-0.1894675367746288
